sampleId,filename,datasetid
11906,11906_chexmix_peaks.bed,ec1c8a683f62fd23
11907,11907_chexmix_peaks.bed,a3721b0b1b35fa3b
11908,11908_chexmix_peaks.bed,9902773ac46e786b
11909,11909_chexmix_peaks.bed,6bf649c3eadb95b2
11910,11910_chexmix_peaks.bed,1c00902655f62981
11911,11911_chexmix_peaks.bed,7b30a0a7ad5a6469
11915,11915_chexmix_peaks.bed,de92543226523e1c
11917,11917_chexmix_peaks.bed,aac596740088c04a
11918,11918_chexmix_peaks.bed,2da67b0b75ad481a
11919,11919_chexmix_peaks.bed,94e28dd93017be74
11920,11920_chexmix_peaks.bed,fcc0b75d364dfe30
11922,11922_chexmix_peaks.bed,d64a99707e7611ce
11925,11925_chexmix_peaks.bed,0cfc5ea9e3e89aeb
11926,11926_chexmix_peaks.bed,dc3c39e2edd6b82b
11929,11929_chexmix_peaks.bed,3aa641fb99a63738
11933,11933_chexmix_peaks.bed,1902b99b49166d3f
11939,11939_chexmix_peaks.bed,ee9cb3f3e6e9825c
11940,11940_chexmix_peaks.bed,43c997f24c2471c8
11941,11941_chexmix_peaks.bed,ecfc424eb5f8d6d9
11942,11942_chexmix_peaks.bed,3cf1adb48a984935
11976,11976_chexmix_peaks.bed,5266065463c499d3
11980,11980_chexmix_peaks.bed,e51fa8146f761500
11982,11982_chexmix_peaks.bed,dab2f0b8eae32234
11983,11983_chexmix_peaks.bed,f71ca05699f10beb
11984,11984_chexmix_peaks.bed,b65f0a03991ffcc5
11986,11986_chexmix_peaks.bed,ce9172e0d9d29e1a
11987,11987_chexmix_peaks.bed,b9f5dc6de3063f73
11988,11988_chexmix_peaks.bed,f784d5c8ff6e6b2a
11990,11990_chexmix_peaks.bed,a12e3604a0cff898
11994,11994_chexmix_peaks.bed,209655633979af95
11995,11995_chexmix_peaks.bed,2ab969696b841372
11997,11997_chexmix_peaks.bed,a5e1cc94bddc4d66
11998,11998_chexmix_peaks.bed,f454c4295ae3bf59
12000,12000_chexmix_peaks.bed,c5c8160a3637be7d
12001,12001_chexmix_peaks.bed,647661e8c8fe655e
12002,12002_chexmix_peaks.bed,c0ca489264da3d96
12003,12003_chexmix_peaks.bed,316edb1e455a4eca
12006,12006_chexmix_peaks.bed,2eb60975b597e4df
